                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92499,                 1.3306,                 1.2367,                      1,                0.64606,                 0.9125,                 0.6564,                0.87308,                 2.7673,                 1.7113,             0.00045111,             0.00045111,             0.00045111
                     36,                  1.008,                  1.582,                 1.3122,                      1,                0.64606,                 0.9125,                 0.6564,                0.87308,                 2.7673,                 1.7113,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.0004,                 1.3269,                 1.2428,                0.81407,                      1,                  0.995,                0.64266,                 1.0699,                 2.5165,                  2.055,             0.00046339,             0.00046339,             0.00046339
                     38,                0.89487,                 1.1865,                 1.1743,                0.81407,                      1,                  0.995,                0.64266,                 1.0699,                 2.5165,                  2.055,             0.00046894,             0.00046894,             0.00046894
                     39,                0.79476,                 1.2453,                 1.1701,                0.89572,                      1,                  0.995,                0.70807,                 1.0818,                 2.4834,                 1.9003,             0.00047409,             0.00047409,             0.00047409
                     40,                0.84254,                 1.2999,                 1.1087,                0.89572,                      1,                  0.995,                0.70807,                 1.0818,                 2.4834,                 1.9003,             0.00047884,             0.00047884,             0.00047884
                     41,                0.95823,                 1.7131,                 1.2852,                0.90592,                      1,                  0.995,                0.59757,                 1.1365,                 2.9011,                 1.8126,              0.0004832,              0.0004832,              0.0004832
                     42,                0.77843,                 1.3149,                 1.0552,                0.90592,                      1,                  0.995,                0.59757,                 1.1365,                 2.9011,                 1.8126,             0.00048716,             0.00048716,             0.00048716
                     43,                0.82519,                 1.1838,                 1.1344,                0.15075,                      1,                  0.995,                0.59757,                 1.2133,                 2.9623,                 1.7696,             0.00049073,             0.00049073,             0.00049073
                     44,                0.75452,                 1.2736,                 1.1739,                0.15075,                      1,                  0.995,                0.59757,                 1.2133,                 2.9623,                 1.7696,              0.0004939,              0.0004939,              0.0004939
                     45,                0.90957,                  1.366,                 1.2399,                0.82973,                0.66667,                  0.863,                0.61845,                0.97227,                  2.865,                 1.7534,             0.00049667,             0.00049667,             0.00049667
                     46,                 0.7677,                 1.3285,                 1.1341,                0.82973,                0.66667,                  0.863,                0.61845,                0.97227,                  2.865,                 1.7534,             0.00049905,             0.00049905,             0.00049905
                     47,                0.73824,                  1.355,                 1.0929,                      1,                0.60046,                   0.83,                0.59315,                 1.0111,                 2.8036,                 1.9283,             0.00050103,             0.00050103,             0.00050103
                     48,                0.67323,                 1.4767,                 1.0139,                      1,                0.60046,                   0.83,                0.59315,                 1.0111,                 2.8036,                 1.9283,             0.00050262,             0.00050262,             0.00050262
                     49,                 0.9659,                 1.2135,                 1.0894,                      1,                 0.6484,                  0.995,                0.73069,                0.91142,                 2.5991,                 1.8049,             0.00050381,             0.00050381,             0.00050381
                     50,                0.73715,                 1.2622,                 1.0454,                      1,                 0.6484,                  0.995,                0.73069,                0.91142,                 2.5991,                 1.8049,              0.0005046,              0.0005046,              0.0005046
                     51,                0.67608,                 1.3731,                 1.0356,                      1,                0.89282,                  0.995,                0.73101,                0.88465,                 2.6355,                 1.6809,               0.000505,               0.000505,               0.000505
                     52,                0.83403,                 1.1597,                 1.0578,                      1,                0.89282,                  0.995,                0.73101,                0.88465,                 2.6355,                 1.6809,               0.000505,               0.000505,               0.000505
                     53,                0.67005,                  1.377,                 1.1112,                      1,                0.89282,                  0.995,                0.73101,                0.88465,                 2.6355,                 1.6809,             0.00050461,             0.00050461,             0.00050461
                     54,                0.84843,                 1.2535,                 1.1479,                      1,                0.98575,                  0.995,                 0.7672,                0.93147,                 2.5894,                 1.7711,             0.00050382,             0.00050382,             0.00050382
                     55,                0.70378,                 1.0632,                 1.0607,                      1,                0.98575,                  0.995,                 0.7672,                0.93147,                 2.5894,                 1.7711,             0.00050263,             0.00050263,             0.00050263
                     56,                 0.7365,                 1.2389,                 1.1143,                      1,                0.98575,                  0.995,                 0.7672,                0.93147,                 2.5894,                 1.7711,             0.00050105,             0.00050105,             0.00050105
                     57,                0.83649,                 1.6297,                 1.1578,                      1,                0.95352,                  0.995,                0.73886,                 1.0086,                 2.4824,                 1.8203,             0.00049907,             0.00049907,             0.00049907
                     58,                0.92888,                 1.2555,                   1.16,                      1,                0.95352,                  0.995,                0.73886,                 1.0086,                 2.4824,                 1.8203,              0.0004967,              0.0004967,              0.0004967
                     59,                 0.6489,                 1.0801,                  0.971,                      1,                0.95352,                  0.995,                0.73886,                 1.0086,                 2.4824,                 1.8203,             0.00049393,             0.00049393,             0.00049393
                     60,                  0.875,                 1.1381,                 1.1232,                      1,                0.64986,                 0.9125,                0.72484,                0.91798,                 2.5011,                 1.6065,             0.00049076,             0.00049076,             0.00049076
                     61,                0.71138,                 1.0003,                0.97091,                      1,                0.64986,                 0.9125,                0.72484,                0.91798,                 2.5011,                 1.6065,              0.0004872,              0.0004872,              0.0004872
                     62,                  0.864,                 1.1914,                  1.123,                      1,                0.64986,                 0.9125,                0.72484,                0.91798,                 2.5011,                 1.6065,             0.00048324,             0.00048324,             0.00048324
                     63,                0.79357,                  1.122,                 1.0227,                0.69266,                0.66667,                 0.9125,                 0.7224,                0.87697,                 2.4901,                 1.6436,             0.00047889,             0.00047889,             0.00047889
                     64,                0.62898,                 1.3406,                 1.0157,                0.69266,                0.66667,                 0.9125,                 0.7224,                0.87697,                 2.4901,                 1.6436,             0.00047414,             0.00047414,             0.00047414
                     65,                0.80914,                 1.2257,                 1.0409,                0.69266,                0.66667,                 0.9125,                 0.7224,                0.87697,                 2.4901,                 1.6436,             0.00046899,             0.00046899,             0.00046899
                     66,                0.80926,                 1.1153,                 1.2024,                0.94352,                      1,                  0.995,                0.78044,                 0.9119,                 2.2898,                 1.6426,             0.00046345,             0.00046345,             0.00046345
                     67,                0.80332,                 1.0391,                 1.1781,                0.94352,                      1,                  0.995,                0.78044,                 0.9119,                 2.2898,                 1.6426,             0.00045751,             0.00045751,             0.00045751
                     68,                0.92327,                 1.1778,                 1.0907,                0.94352,                      1,                  0.995,                0.78044,                 0.9119,                 2.2898,                 1.6426,             0.00045118,             0.00045118,             0.00045118
                     69,                0.94424,                  1.198,                  1.078,                0.87244,                      1,                  0.995,                0.79661,                0.92767,                 2.3066,                 1.6271,             0.00044445,             0.00044445,             0.00044445
                     70,                0.81059,                 1.3941,                 1.1303,                0.87244,                      1,                  0.995,                0.79661,                0.92767,                 2.3066,                 1.6271,             0.00043732,             0.00043732,             0.00043732
                     71,                0.65233,                 1.0732,                 1.0202,                0.87244,                      1,                  0.995,                0.79661,                0.92767,                 2.3066,                 1.6271,              0.0004298,              0.0004298,              0.0004298
                     72,                0.89471,                 1.2939,                 1.1271,                0.94694,                      1,                  0.995,                0.69765,                0.94827,                 2.2094,                 1.6491,             0.00042188,             0.00042188,             0.00042188
                     73,                0.73156,                 1.1633,                 1.0332,                0.94694,                      1,                  0.995,                0.69765,                0.94827,                 2.2094,                 1.6491,             0.00041357,             0.00041357,             0.00041357
                     74,                0.82349,                 1.1486,                 1.0614,                0.94694,                      1,                  0.995,                0.69765,                0.94827,                 2.2094,                 1.6491,             0.00040486,             0.00040486,             0.00040486
                     75,                0.61683,                 1.2261,                 1.0043,                0.97962,                      1,                  0.995,                0.66411,                 1.0443,                 1.8696,                 1.8164,             0.00039575,             0.00039575,             0.00039575
                     76,                0.76201,                 1.1227,                 1.0808,                0.97962,                      1,                  0.995,                0.66411,                 1.0443,                 1.8696,                 1.8164,             0.00038625,             0.00038625,             0.00038625
                     77,                0.69306,                 1.0419,                 1.0531,                0.97962,                      1,                  0.995,                0.66411,                 1.0443,                 1.8696,                 1.8164,             0.00037635,             0.00037635,             0.00037635
                     78,                0.78203,                 1.0938,                 1.1006,                0.98305,                      1,                  0.995,                0.63717,                 1.0333,                 1.7011,                 1.8408,             0.00036606,             0.00036606,             0.00036606
                     79,                0.64044,                 1.1567,                  1.065,                0.98305,                      1,                  0.995,                0.63717,                 1.0333,                 1.7011,                 1.8408,             0.00035537,             0.00035537,             0.00035537
                     80,                0.77863,                 1.1741,                 1.0737,                0.98305,                      1,                  0.995,                0.63717,                 1.0333,                 1.7011,                 1.8408,             0.00034428,             0.00034428,             0.00034428
                     81,                0.92792,                 1.5491,                  1.182,                0.98237,                      1,                  0.995,                0.65726,                  1.069,                 1.7523,                 1.8986,              0.0003328,              0.0003328,              0.0003328
                     82,                0.80777,                 1.3298,                 1.0611,                0.98237,                      1,                  0.995,                0.65726,                  1.069,                 1.7523,                 1.8986,             0.00032092,             0.00032092,             0.00032092
                     83,                0.82793,                 1.1803,                 1.0873,                0.98237,                      1,                  0.995,                0.65726,                  1.069,                 1.7523,                 1.8986,             0.00030865,             0.00030865,             0.00030865
                     84,                0.69971,                 1.1579,                 1.0347,                0.98319,                      1,                  0.995,                0.63061,                 1.0965,                 1.8186,                 1.8962,             0.00029598,             0.00029598,             0.00029598
                     85,                0.92607,                 1.2827,                 1.2817,                0.98319,                      1,                  0.995,                0.63061,                 1.0965,                 1.8186,                 1.8962,             0.00028291,             0.00028291,             0.00028291
                     86,                0.71574,                 1.0796,                 1.0137,                0.98319,                      1,                  0.995,                0.63061,                 1.0965,                 1.8186,                 1.8962,             0.00026945,             0.00026945,             0.00026945
                     87,                0.67135,                 1.0793,                 1.0421,                0.98319,                      1,                  0.995,                0.63061,                 1.0965,                 1.8186,                 1.8962,             0.00025559,             0.00025559,             0.00025559
                     88,                0.70988,                 1.0133,                 1.1012,                0.98411,                      1,                  0.995,                0.63061,                 1.1076,                 1.7558,                 1.8887,             0.00024134,             0.00024134,             0.00024134
                     89,                0.69983,                 1.0549,                 1.0858,                0.98411,                      1,                  0.995,                0.63061,                 1.1076,                 1.7558,                 1.8887,             0.00022669,             0.00022669,             0.00022669
                     90,                0.68495,                0.98682,                0.96887,                0.98411,                      1,                  0.995,                0.63061,                 1.1076,                 1.7558,                 1.8887,             0.00021164,             0.00021164,             0.00021164
                     91,                0.64499,                 1.4674,                  1.035,                0.98411,                      1,                  0.995,                0.63061,                 1.1076,                 1.7558,                 1.8887,              0.0001962,              0.0001962,              0.0001962
                     92,                0.53853,                 1.3209,                0.99028,                0.98426,                      1,                  0.995,                0.63061,                 1.1002,                 1.7748,                  1.846,             0.00018036,             0.00018036,             0.00018036
                     93,                0.54504,                 1.2422,                0.99188,                0.98426,                      1,                  0.995,                0.63061,                 1.1002,                 1.7748,                  1.846,             0.00016413,             0.00016413,             0.00016413
                     94,                0.65271,                 1.3962,                 1.1074,                0.98426,                      1,                  0.995,                0.63061,                 1.1002,                 1.7748,                  1.846,              0.0001475,              0.0001475,              0.0001475
                     95,                0.48595,                 1.3225,                  0.925,                0.98426,                      1,                  0.995,                0.63061,                 1.1002,                 1.7748,                  1.846,             0.00013047,             0.00013047,             0.00013047
                     96,                 0.5253,                 1.3488,                 1.0726,                0.98462,                      1,                  0.995,                0.64182,                 1.0801,                 1.7503,                 1.8199,             0.00011305,             0.00011305,             0.00011305
                     97,                 0.5578,                 1.3004,                 1.0426,                0.98462,                      1,                  0.995,                0.64182,                 1.0801,                 1.7503,                 1.8199,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                0.60034,                 1.3579,                 1.0532,                0.98462,                      1,                  0.995,                0.64182,                 1.0801,                 1.7503,                 1.8199,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                0.56561,                 1.3581,                  1.025,                0.98462,                      1,                  0.995,                0.64182,                 1.0801,                 1.7503,                 1.8199,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                 0.5183,                 1.2723,                0.90842,                0.98167,                      1,                  0.995,                0.67498,                 1.0411,                  1.696,                 1.7615,             3.9402e-05,             3.9402e-05,             3.9402e-05
