                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.9634,                 3.4856,                 2.9441,                0.00333,                      1,                0.01706,                0.00232,                 3.3411,                 4.1008,                 3.2542,             0.00045111,             0.00045111,             0.00045111
                     36,                 2.6582,                 3.8111,                 2.8105,                0.00333,                      1,                0.01706,                0.00232,                 3.3411,                 4.1008,                 3.2542,             0.00045745,             0.00045745,             0.00045745
                     37,                 2.5867,                 3.7679,                  2.885,                0.00222,                0.66667,                0.00926,                0.00133,                 3.4091,                 4.2185,                 3.3149,             0.00046339,             0.00046339,             0.00046339
                     38,                 2.8725,                 3.4841,                 3.0731,                0.00222,                0.66667,                0.00926,                0.00133,                 3.4091,                 4.2185,                 3.3149,             0.00046894,             0.00046894,             0.00046894
                     39,                 2.7174,                 3.5519,                 2.7951,                0.00222,                0.66667,                0.00647,                 0.0014,                 3.5263,                 4.3182,                 3.3828,             0.00047409,             0.00047409,             0.00047409
                     40,                   2.62,                 3.4588,                 2.7833,                0.00222,                0.66667,                0.00647,                 0.0014,                 3.5263,                 4.3182,                 3.3828,             0.00047884,             0.00047884,             0.00047884
                     41,                 2.7492,                 4.3575,                 2.8294,                0.00111,                0.33333,                0.00189,                0.00092,                 3.5757,                 4.3357,                 3.4182,              0.0004832,              0.0004832,              0.0004832
                     42,                 2.3511,                 3.7378,                  2.714,                0.00111,                0.33333,                0.00189,                0.00092,                 3.5757,                 4.3357,                 3.4182,             0.00048716,             0.00048716,             0.00048716
                     43,                 2.4027,                 3.4185,                 2.6665,                0.00111,                0.33333,                 0.0018,                0.00087,                 3.5398,                  4.288,                 3.3879,             0.00049073,             0.00049073,             0.00049073
                     44,                 2.7103,                 3.4569,                 2.9997,                0.00111,                0.33333,                 0.0018,                0.00087,                 3.5398,                  4.288,                 3.3879,              0.0004939,              0.0004939,              0.0004939
                     45,                 2.6676,                 3.4528,                 2.6844,                0.00333,                      1,                0.01292,                0.00276,                  3.216,                 3.8732,                 3.2205,             0.00049667,             0.00049667,             0.00049667
                     46,                 2.5745,                  3.479,                 2.7754,                0.00333,                      1,                0.01292,                0.00276,                  3.216,                 3.8732,                 3.2205,             0.00049905,             0.00049905,             0.00049905
                     47,                 2.7631,                 3.6302,                 2.7246,                0.00333,                      1,                0.01292,                0.00223,                 3.2729,                 3.9112,                 3.2466,             0.00050103,             0.00050103,             0.00050103
                     48,                 2.6186,                 3.7844,                 2.8764,                0.00333,                      1,                0.01292,                0.00223,                 3.2729,                 3.9112,                 3.2466,             0.00050262,             0.00050262,             0.00050262
                     49,                 2.6797,                 3.0114,                  2.663,                0.00333,                      1,                0.01131,                  0.002,                 3.3199,                 3.9552,                 3.2815,             0.00050381,             0.00050381,             0.00050381
                     50,                 2.4753,                 3.3813,                  2.761,                0.00333,                      1,                0.01131,                  0.002,                 3.3199,                 3.9552,                 3.2815,              0.0005046,              0.0005046,              0.0005046
                     51,                 2.3294,                 3.2576,                 2.5657,                0.00222,                0.66667,                0.00525,                  0.001,                 3.3896,                 4.0197,                 3.3394,               0.000505,               0.000505,               0.000505
                     52,                 2.5069,                 3.0519,                 2.5372,                0.00222,                0.66667,                0.00525,                  0.001,                 3.3896,                 4.0197,                 3.3394,               0.000505,               0.000505,               0.000505
                     53,                 2.4454,                 3.8288,                 2.7339,                0.00222,                0.66667,                0.00525,                  0.001,                 3.3896,                 4.0197,                 3.3394,             0.00050461,             0.00050461,             0.00050461
                     54,                 2.8848,                 3.3678,                 2.9467,                0.00333,                      1,                0.01078,                0.00191,                 3.3204,                 3.9827,                 3.2784,             0.00050382,             0.00050382,             0.00050382
                     55,                 2.6037,                 3.4637,                 3.0157,                0.00333,                      1,                0.01078,                0.00191,                 3.3204,                 3.9827,                 3.2784,             0.00050263,             0.00050263,             0.00050263
                     56,                  2.495,                 3.2666,                 2.7754,                0.00333,                      1,                0.01078,                0.00191,                 3.3204,                 3.9827,                 3.2784,             0.00050105,             0.00050105,             0.00050105
                     57,                  2.694,                 4.1626,                 2.8353,                0.00333,                      1,                0.01209,                0.00211,                 3.2355,                 3.9489,                 3.2072,             0.00049907,             0.00049907,             0.00049907
